stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"59055","59055",Seminary Av + Div 4 Gate (Near San Leandro St),37.761382,-122.204759,,"","","","","","0",""
"55624","55624",Seminary Av + E 17th St,37.766708,-122.197382,,"","","","","","0",""
"59953","59953",Seminary Av + E 17th St,37.766484,-122.197496,,"","","","","","0",""
"51546","51546",Seminary Av + Foothill Blvd,37.771305,-122.190862,,"","","","","","0",""
"51549","51549",Seminary Av + Foothill Blvd,37.771778,-122.189949,,"","","","","","0",""
"54858","54858",Seminary Av + Harmon Av,37.768124,-122.195161,,"","","","","","0",""
"57789","57789",Seminary Av + Harmon Av,37.768156,-122.195321,,"","","","","","0",""
"51458","51458",Seminary Av + Hillmont Dr,37.779866,-122.177141,,"","","","","","0",""
"55152","55152",Seminary Av + Hilton St,37.769435,-122.1933,,"","","","","","0",""
"55866","55866",Seminary Av + International Blvd,37.764991,-122.199622,,"","","","","","0",""
"56115","56115",Seminary Av + International Blvd,37.765271,-122.199429,,"","","","","","0",""
"59070","59070",Seminary Av + Laird Av,37.777987,-122.181861,,"","","","","","0",""
"55181","55181",Seminary Av + MacArthur Blvd,37.776742,-122.183888,,"","","","","","0",""
"57765","57765",Seminary Av + MacArthur Blvd,37.776696,-122.183478,,"","","","","","0",""
"51480","51480",Seminary Av + Oakdale Av,37.779805,-122.178461,,"","","","","","0",""
"54226","54226",Seminary Av + Outlook Av,37.779543,-122.18085,,"","","","","","0",""
"52286","52286",Seminary Av + Outlook Av,37.779463,-122.180616,,"","","","","","0",""
"58548","58548",Seminary Av + Roberts Av,37.773892,-122.187244,,"","","","","","0",""
"55789","55789",Seminary Av + Roberts Av,37.773725,-122.187243,,"","","","","","0",""
"59969","59969",Seminary Av + Seminary Ct,37.769538,-122.193363,,"","","","","","0",""
"55697","55697",Seminary Av + Tevis St,37.762954,-122.202736,,"","","","","","0",""
"55641","55641",Seminary Av + Tevis St,37.762742,-122.202817,,"","","","","","0",""
"56741","56741",Seven Hills Rd + Brickell Way,37.708765,-122.068817,,"","","","","","0",""
"59839","59839",Seven Hills Rd + Brickell Way,37.70888,-122.068514,,"","","","","","0",""
"52678","52678",Seven Hills Rd + Castro Valley Adult School,37.708889,-122.070804,,"","","","","","0",""
"54502","54502",Seven Hills Rd + Madison Av,37.708563,-122.064659,,"","","","","","0",""
"59254","59254",Seven Hills Rd + Madison Av,37.708679,-122.064419,,"","","","","","0",""
"56742","56742",Seven Hills Rd + Sandy Rd,37.708642,-122.065991,,"","","","","","0",""
"59835","59835",Seven Hills Rd + Sandy Rd,37.70876,-122.066173,,"","","","","","0",""
"55834","55834",S Garrard Blvd + Canal Blvd,37.929215,-122.379914,,"","","","","","0",""
"53530","53530",S Garrard Blvd + W Cutting Blvd,37.925173,-122.383359,,"","","","","","0",""
"59343","59343",S Garrard Blvd + W Cutting Blvd,37.925507,-122.383407,,"","","","","","0",""
"51245","51245",S Grimmer Blvd + Ishi Dr,37.506614,-121.923805,,"","","","","","0",""
"58534","58534",S Grimmer Blvd + Ishi Dr,37.506464,-121.923619,,"","","","","","0",""
"52296","52296",S Grimmer Blvd + Parkmeadow Dr,37.506854,-121.932788,,"","","","","","0",""
"58645","58645",S Grimmer Blvd + Parkmeadow Dr,37.506778,-121.932463,,"","","","","","0",""
"51250","51250",S Grimmer Blvd + Paseo Padre Pkwy,37.507438,-121.928793,,"","","","","","0",""
"51560","51560",S Grimmer Blvd + Paseo Padre Pkwy,37.507219,-121.927786,,"","","","","","0",""
"56730","56730",Shane Dr + Birmingham Dr,37.971359,-122.332644,,"","","","","","0",""
"56790","56790",Shane Dr + Gilma Dr,37.975113,-122.328674,,"","","","","","0",""
"51866","51866",Shane Dr + Gilma Dr,37.975128,-122.328532,,"","","","","","0",""
"56332","56332",Shane Dr + Hilltop Mall Rd,37.977738,-122.328748,,"","","","","","0",""
"50267","50267",Shattuck Av + 55th St,37.84069,-122.264455,,"","","","","","0",""
"56116","56116",Shattuck Av + 59th St,37.844438,-122.264986,,"","","","","","0",""
"55185","55185",Shattuck Av + 59th St,37.844604,-122.26519,,"","","","","","0",""
"51135","51135",Shattuck Av + 61st St,37.846984,-122.26533,,"","","","","","0",""
"51225","51225",Shattuck Av + 61st St,37.846685,-122.265456,,"","","","","","0",""
"55415","55415",Shattuck Av + Aileen St,37.842126,-122.264848,,"","","","","","0",""
"55159","55159",Shattuck Av + Aileen St,37.84189,-122.264648,,"","","","","","0",""
"57522","57522",Shattuck Av + Alcatraz Av,37.84964,-122.265841,,"","","","","","0",""
"59099","59099",Shattuck Av + Alcatraz Av,37.849359,-122.265661,,"","","","","","0",""
"52808","52808",Shattuck Av + Allston Way,37.86988,-122.267802,,"","","","","","0",""
"55555","55555",Shattuck Av + Allston Way,37.86948,-122.268127,,"","","","","","0",""
"52014","52014",Shattuck Av + Allston Way (Transit Hub),37.869119,-122.267701,,"","","","","","0",""
"59954","59954",Shattuck Av + Ashby Av,37.855415,-122.26662,,"","","","","","0",""
"51101","51101",Shattuck Av + Ashby Av,37.855106,-122.266408,,"","","","","","0",""
"51544","51544",Shattuck Av + Cedar St,37.878344,-122.26897,,"","","","","","0",""
"53339","53339",Shattuck Av + Cedar St,37.878536,-122.269231,,"","","","","","0",""
"57200","57200",Shattuck Av + Delaware St,37.874571,-122.268853,,"","","","","","0",""
"54588","54588",Shattuck Av + Delaware St,37.875261,-122.26863,,"","","","","","0",""
"59985","59985",Shattuck Av + Derby St,37.860275,-122.266917,,"","","","","","0",""
"51377","51377",Shattuck Av + Derby St,37.860671,-122.267168,,"","","","","","0",""
"55226","55226",Shattuck Av + Durant Av,37.866468,-122.267812,,"","","","","","0",""
"52155","52155",Shattuck Av + Durant Av,37.866604,-122.267517,,"","","","","","0",""
"54454","54454",Shattuck Av + Dwight Way,37.863762,-122.267499,,"","","","","","0",""
"55452","55452",Shattuck Av + Dwight Way,37.863909,-122.267216,,"","","","","","0",""
"51300","51300",Shattuck Av + Haste St,37.86511,-122.267368,,"","","","","","0",""
"55999","55999",Shattuck Av + Kittredge St,37.868192,-122.26799,,"","","","","","0",""
"55585","55585",Shattuck Av + Kittredge St,37.86845,-122.267722,,"","","","","","0",""
"52018","52018",Shattuck Av + Oregon St,37.857883,-122.266753,,"","","","","","0",""
"52019","52019",Shattuck Av + Oregon St,37.857236,-122.266851,,"","","","","","0",""
"55935","55935",Shattuck Av + Parker St,37.861927,-122.267279,,"","","","","","0",""
"50151","50151",Shattuck Av + Parker St,37.862092,-122.266997,,"","","","","","0",""
"58889","58889",Shattuck Av + University Av,37.872369,-122.268543,,"","","","","","0",""
"57776","57776",Shattuck Av + University Av,37.872541,-122.268319,,"","","","","","0",""
"55507","55507",Shattuck Av + Vine St,37.88032,-122.269455,,"","","","","","0",""
"55652","55652",Shattuck Av + Vine St,37.880138,-122.269171,,"","","","","","0",""
"56654","56654",Shattuck Av + Virginia St,37.876351,-122.269002,,"","","","","","0",""
"57225","57225",Shattuck Av + Virginia St,37.87652,-122.268753,,"","","","","","0",""
"55453","55453",Shattuck Av + Woolsey St,37.852301,-122.266027,,"","","","","","0",""
"52592","52592",Shattuck Av + Woolsey St,37.852467,-122.266224,,"","","","","","0",""
"55454","55454",Shattuck Pl + Rose St,37.881703,-122.270355,,"","","","","","0",""
"59899","59899",Shattuck Pl + Rose St,37.88187,-122.270115,,"","","","","","0",""
"55559","55559",Shattuck Sq + Center St (Downtown Berkeley BART),37.870194,-122.26773,,"","","","","","0",""
"57702","57702",Shawn Way + Glenn Ellen Dr,37.683929,-122.04747,,"","","","","","0",""
"57275","57275",Sheila St + Shawn Way,37.68442,-122.046173,,"","","","","","0",""
"52387","52387",Shellmound St + 65th St,37.845775,-122.294557,,"","","","","","0",""
"51697","51697",Shellmound St + Bay St,37.833348,-122.293641,,"","","","","","0",""
"57988","57988",Shellmound St + Bay St,37.833988,-122.293293,,"","","","","","0",""
"52389","52389",Shellmound St + Christie Av,37.837442,-122.292976,,"","","","","","0",""
"52386","52386",Shellmound St + Christie Av,37.837502,-122.293219,,"","","","","","0",""
"50242","50242",Shellmound St + Powell St,37.838436,-122.29312,,"","","","","","0",""
"50505","50505",Shellmound St + Shellmound Way,37.840254,-122.293567,,"","","","","","0",""
"52304","52304",Sherman St + Buena Vista Av,37.777337,-122.263057,,"","","","","","0",""
"52132","52132",Shoreline Dr + Grand St,37.759281,-122.263768,,"","","","","","0",""
"54387","54387",Shoreline Dr + Kitty Hawk Rd,37.75815,-122.260725,,"","","","","","0",""
"53313","53313",Shoreline Dr + Kitty Hawk Rd,37.758312,-122.26074,,"","","","","","0",""
"54356","54356",Silva Av + Jackson St,37.664304,-122.082599,,"","","","","","0",""
"57340","57340",Silva Av + Leighton St,37.662613,-122.081488,,"","","","","","0",""
"50210","50210",Silva Av + Thomas Av,37.662071,-122.081211,,"","","","","","0",""
"58497","58497",Skyline Blvd + Joaquin Miller Rd,37.805294,-122.178478,,"","","","","","0",""
"58647","58647",Skyline Blvd + Roberts Park,37.812614,-122.175672,,"","","","","","0",""
"52689","52689",S Milpitas Blvd + Ames Av,37.418935,-121.890289,,"","","","","","0",""
"52687","52687",S Milpitas Blvd + Ames Av,37.419596,-121.890633,,"","","","","","0",""
"52628","52628",S Milpitas Blvd + Calaveras Blvd,37.431844,-121.899571,,"","","","","","0",""
"52686","52686",S Milpitas Blvd + Garden St,37.413988,-121.887365,,"","","","","","0",""
"52701","52701",S Milpitas Blvd + Los Coches St,37.430176,-121.897858,,"","","","","","0",""
"52702","52702",S Milpitas Blvd + Los Coches St,37.429855,-121.897755,,"","","","","","0",""
"52685","52685",S Milpitas Blvd + Montague Expressway,37.411878,-121.886829,,"","","","","","0",""
"52698","52698",S Milpitas Blvd + Turquoise St,37.426747,-121.895739,,"","","","","","0",""
"52696","52696",S Milpitas Blvd + Turquoise St,37.427381,-121.895819,,"","","","","","0",""
"52692","52692",S Milpitas Blvd + Yosemite Dr,37.423035,-121.893408,,"","","","","","0",""
"52695","52695",S Milpitas Blvd + Yosemite Dr,37.422076,-121.893133,,"","","","","","0",""
"55265","55265",Solano Av + Colusa Av,37.891439,-122.279695,,"","","","","","0",""
"57799","57799",Solano Av + Colusa Av,37.891297,-122.278761,,"","","","","","0",""
"55766","55766",Solano Av + Cornell Av,37.89039,-122.295871,,"","","","","","0",""
"55730","55730",Solano Av + Cornell Av,37.890527,-122.296019,,"","","","","","0",""
"51212","51212",Solano Av + Curtis St,37.890871,-122.287156,,"","","","","","0",""
"50750","50750",Solano Av + Ensenada Av,37.891172,-122.28154,,"","","","","","0",""
"51922","51922",Solano Av + Ensenada Av,37.89133,-122.281795,,"","","","","","0",""
"55395","55395",Solano Av + Kains Av,37.890379,-122.29832,,"","","","","","0",""
"55133","55133",Solano Av + Masonic Av,37.890503,-122.293296,,"","","","","","0",""
"58977","58977",Solano Av + Masonic Av,37.890693,-122.293479,,"","","","","","0",""
"56615","56615",Solano Av + Peralta Av,37.890955,-122.285239,,"","","","","","0",""
"51233","51233",Solano Av + Peralta Av,37.89109,-122.285958,,"","","","","","0",""
"56568","56568",Solano Av + Ramona Av,37.89064,-122.290928,,"","","","","","0",""
"51915","51915",Solano Av + Ramona Av,37.890748,-122.291328,,"","","","","","0",""
"55905","55905",Solano Av + Santa Fe Av,37.890863,-122.289194,,"","","","","","0",""
"52245","52245",Solano Av + Santa Fe Av,37.89075,-122.288925,,"","","","","","0",""
"52279","52279",Solano Av + Tacoma Av,37.891189,-122.284064,,"","","","","","0",""
"54300","54300",Solano Av + The Alameda,37.891101,-122.276223,,"","","","","","0",""
"51251","51251",Solano Av + The Alameda,37.891555,-122.277507,,"","","","","","0",""
"57975","57975",Solano Av + Ventura Av,37.891078,-122.283153,,"","","","","","0",""
"52789","52789",Somerset Av + Bernal St,37.701099,-122.088956,,"","","","","","0",""
